ID_Auditoria,Fecha_Auditoria,Proceso_ID,Tipo_Auditoria,Auditor_ID,Numero_Hallazgos,Calificacion,Estado
AUD-10390,2005-03-21,P05,Auditoría Externa ISO 9001,R01,2,81.1,Cerrada
AUD-10093,2005-04-22,P08,Auditoría Interna Programada,R11,0,96.3,Cerrada
AUD-10360,2005-05-20,P06,Auditoría Externa ISO 9001,R11,0,95.7,Cerrada
AUD-10009,2005-07-17,P07,Auditoría de Seguimiento,R11,4,75.8,Cerrada
AUD-10324,2005-08-01,P08,Auditoría de Seguimiento,R11,0,100.0,Cerrada
AUD-10385,2005-08-25,P03,Auditoría Interna Programada,R11,3,88.6,En Revisión
AUD-10289,2005-09-03,P07,Auditoría Externa ISO 9001,R11,4,78.0,Cerrada
AUD-10404,2005-10-09,P08,Auditoría de Seguimiento,R11,2,79.3,En Revisión
AUD-10131,2005-10-18,P05,Auditoría Externa ISO 9001,R11,6,57.5,Cerrada
AUD-10041,2005-10-20,P08,Auditoría Externa ISO 9001,R11,1,91.0,Cerrada
AUD-10211,2005-11-03,P06,Auditoría Externa ISO 9001,R11,2,81.6,Cerrada
AUD-10240,2006-01-17,P01,Auditoría de Seguimiento,R11,2,83.0,En Revisión
AUD-10017,2006-04-03,P04,Auditoría Interna Programada,R11,0,100.0,Cerrada
AUD-10378,2006-05-07,P07,Auditoría Interna Programada,R11,1,93.7,En Revisión
AUD-10372,2006-05-07,P07,Auditoría Interna Programada,R11,4,70.3,Cerrada
AUD-10332,2006-05-12,P06,Auditoría Interna Programada,R11,2,88.9,Cerrada
AUD-10219,2006-06-15,P08,Auditoría de Seguimiento,R11,1,89.2,Cerrada
AUD-10270,2006-07-02,P02,Auditoría Externa ISO 9001,R11,2,83.2,Cerrada
AUD-10069,2006-08-02,P07,Auditoría Externa ISO 9001,R11,2,85.5,Cerrada
AUD-10359,2006-10-15,P03,Auditoría Externa ISO 9001,R11,1,92.5,Cerrada
AUD-10345,2006-11-06,P04,Auditoría Externa ISO 9001,R11,3,73.2,En Revisión
AUD-10177,2007-01-03,P06,Auditoría Externa ISO 9001,R11,0,100.0,Cerrada
AUD-10393,2007-01-15,P06,Auditoría de Seguimiento,R21,2,87.3,Cerrada
AUD-10279,2007-02-03,P08,Auditoría Interna Programada,R09,3,80.4,Cerrada
AUD-10397,2007-02-04,P03,Auditoría Externa ISO 9001,R09,0,100.0,Cerrada
AUD-10373,2007-02-07,P01,Auditoría de Seguimiento,R21,3,77.2,Cerrada
AUD-10309,2007-02-13,P06,Auditoría Externa ISO 9001,R21,3,89.7,Cerrada
AUD-10187,2007-03-22,P05,Auditoría de Seguimiento,R11,0,100.0,Cerrada
AUD-10337,2007-04-30,P02,Auditoría Interna Programada,R11,3,72.9,Cerrada
AUD-10060,2007-06-01,P03,Auditoría Externa ISO 9001,R09,0,98.3,Cerrada
AUD-10126,2007-06-19,P06,Auditoría de Seguimiento,R16,0,100.0,Cerrada
AUD-10222,2007-08-15,P06,Auditoría de Seguimiento,R09,1,94.2,En Revisión
AUD-10381,2007-08-29,P05,Auditoría Interna Programada,R09,0,97.7,En Revisión
AUD-10228,2007-09-05,P08,Auditoría Externa ISO 9001,R09,3,89.1,Cerrada
AUD-10304,2007-11-21,P05,Auditoría Interna Programada,R09,1,98.3,Cerrada
AUD-10226,2007-11-23,P02,Auditoría Externa ISO 9001,R21,2,91.6,Cerrada
AUD-10067,2008-01-08,P05,Auditoría Externa ISO 9001,R16,3,81.2,Cerrada
AUD-10085,2008-01-16,P02,Auditoría Interna Programada,R01,2,85.6,Cerrada
AUD-10227,2008-01-23,P02,Auditoría de Seguimiento,R16,2,84.3,Cerrada
AUD-10183,2008-01-26,P06,Auditoría de Seguimiento,R01,0,98.9,En Revisión
AUD-10022,2008-01-26,P04,Auditoría Interna Programada,R01,2,90.8,En Revisión
AUD-10247,2008-02-02,P04,Auditoría Interna Programada,R16,0,100.0,Cerrada
AUD-10387,2008-02-09,P01,Auditoría Externa ISO 9001,R11,2,87.0,Cerrada
AUD-10025,2008-05-31,P08,Auditoría Interna Programada,R18,2,90.5,Cerrada
AUD-10176,2008-06-06,P07,Auditoría Interna Programada,R09,3,77.9,Cerrada
AUD-10193,2008-06-10,P06,Auditoría Interna Programada,R01,2,90.1,Cerrada
AUD-10129,2008-06-11,P06,Auditoría Externa ISO 9001,R21,4,70.8,Cerrada
AUD-10355,2008-06-21,P04,Auditoría Interna Programada,R18,2,89.0,Cerrada
AUD-10165,2008-06-22,P06,Auditoría de Seguimiento,R16,2,79.1,Cerrada
AUD-10248,2008-08-22,P02,Auditoría Externa ISO 9001,R21,2,85.6,Cerrada
AUD-10037,2008-08-22,P06,Auditoría Externa ISO 9001,R18,2,87.7,Cerrada
AUD-10158,2008-09-13,P08,Auditoría Interna Programada,R18,3,80.4,Cerrada
AUD-10119,2008-09-16,P06,Auditoría Interna Programada,R01,3,84.6,Cerrada
AUD-10005,2008-09-24,P07,Auditoría Interna Programada,R18,2,88.1,Cerrada
AUD-10269,2008-10-23,P02,Auditoría Externa ISO 9001,R09,0,96.5,Cerrada
AUD-10348,2008-11-02,P07,Auditoría Externa ISO 9001,R01,3,82.0,Cerrada
AUD-10172,2008-11-22,P05,Auditoría de Seguimiento,R21,2,83.9,Cerrada
AUD-10318,2008-12-04,P06,Auditoría Externa ISO 9001,R11,1,97.0,Cerrada
AUD-10124,2009-01-04,P03,Auditoría de Seguimiento,R21,3,72.3,Cerrada
AUD-10259,2009-01-06,P01,Auditoría de Seguimiento,R11,6,59.2,Cerrada
AUD-10186,2009-01-13,P02,Auditoría Externa ISO 9001,R18,1,100.0,Cerrada
AUD-10035,2009-01-21,P03,Auditoría Interna Programada,R16,3,76.2,Cerrada
AUD-10040,2009-01-31,P03,Auditoría Interna Programada,R16,3,79.5,En Revisión
AUD-10234,2009-03-10,P03,Auditoría Interna Programada,R09,1,92.8,Cerrada
AUD-10001,2009-03-22,P07,Auditoría Externa ISO 9001,R16,7,58.4,Cerrada
AUD-10169,2009-03-25,P03,Auditoría Externa ISO 9001,R21,0,100.0,Cerrada
AUD-10267,2009-04-09,P04,Auditoría de Seguimiento,R11,3,84.0,Cerrada
AUD-10059,2009-05-04,P04,Auditoría Interna Programada,R16,3,84.4,Cerrada
AUD-10306,2009-05-18,P07,Auditoría Interna Programada,R01,0,100.0,En Revisión
AUD-10077,2009-06-07,P06,Auditoría de Seguimiento,R01,1,87.5,Cerrada
AUD-10274,2009-07-04,P03,Auditoría de Seguimiento,R21,4,73.7,Cerrada
AUD-10084,2009-07-14,P04,Auditoría Externa ISO 9001,R01,4,68.6,Cerrada
AUD-10008,2009-07-20,P01,Auditoría Interna Programada,R09,5,75.8,Cerrada
AUD-10346,2009-09-30,P02,Auditoría Externa ISO 9001,R21,1,90.1,En Revisión
