ID_Caso,Fecha_Deteccion,Proceso_ID,Tipo_Hallazgo_ID,Severidad,Origen_Deteccion,Estado,Fecha_Cierre,Dias_Para_Cierre,Responsable_ID,Costo_Estimado_COP
NC-104002,2005-01-08,P04,T01,Alta,Autocontrol,Cerrada,2005-01-20,12,R01,675141
NC-102573,2005-03-04,P05,T01,Alta,Autocontrol,Cerrada,2005-03-13,9,R01,1022404
NC-101761,2005-03-09,P07,T04,Media,Auditoría Externa,Cerrada,2005-03-17,8,R01,28691
NC-103939,2005-03-18,P08,T06,Baja,Autocontrol,Cerrada,2005-03-26,8,R01,28460
NC-100297,2005-03-22,P03,T02,Crítica,Autocontrol,Cerrada,2005-04-10,19,R01,1011900
NC-104573,2005-03-30,P08,T02,Media,Auditoría Externa,Cerrada,2005-03-31,1,R01,610614
NC-102063,2005-03-31,P06,T06,Media,Auditoría Externa,Cerrada,2005-04-12,12,R01,243960
NC-101625,2005-04-04,P07,T02,Media,Auditoría Interna,En Tratamiento,,,R01,336459
NC-105056,2005-04-13,P01,T05,Media,Autocontrol,Abierta,,,R11,642867
NC-100422,2005-04-22,P04,T01,Media,Inspección de Calidad,Cerrada,2005-05-01,9,R11,1087263
NC-105252,2005-04-28,P03,T02,Media,Auditoría Interna,Cerrada,2005-05-02,4,R11,480113
NC-100670,2005-05-10,P07,T01,Alta,Auditoría Externa,Cerrada,2005-05-21,11,R11,484897
NC-105930,2005-05-14,P03,T05,Alta,Queja de Cliente,Abierta,,,R11,995791
NC-101658,2005-05-17,P04,T02,Baja,Auditoría Interna,Cerrada,2005-05-25,8,R11,173476
NC-105514,2005-06-05,P02,T03,Alta,Queja de Cliente,Cerrada,2005-06-07,2,R11,1431907
NC-101920,2005-06-05,P02,T03,Media,Autocontrol,Cerrada,2005-06-09,4,R11,662473
NC-100551,2005-06-14,P01,T02,Baja,Auditoría Interna,En Tratamiento,,,R11,87506
NC-106051,2005-06-21,P05,T05,Alta,Inspección de Calidad,En Tratamiento,,,R11,844673
NC-101035,2005-06-24,P05,T05,Media,Auditoría Externa,Cerrada,2005-06-30,6,R11,354541
NC-102902,2005-07-12,P01,T04,Media,Queja de Cliente,Cerrada,2005-07-26,14,R11,214412
NC-100230,2005-07-13,P08,T04,Baja,Auditoría Interna,En Tratamiento,,,R11,288244
NC-100473,2005-07-21,P07,T01,Baja,Auditoría Externa,Cerrada,2005-08-04,14,R11,244449
NC-100753,2005-07-27,P01,T03,Alta,Queja de Cliente,Cerrada,2005-08-11,15,R11,451629
NC-104194,2005-08-18,P05,T04,Media,Queja de Cliente,Cerrada,2005-08-30,12,R11,359083
NC-101343,2005-08-22,P07,T01,Baja,Inspección de Calidad,Cerrada,2005-08-28,6,R11,183456
NC-104392,2005-08-28,P01,T03,Alta,Auditoría Externa,Cerrada,2005-09-24,27,R11,310785
NC-102500,2005-08-31,P03,T02,Alta,Inspección de Calidad,Cerrada,2005-09-13,13,R11,211735
NC-100488,2005-09-02,P02,T02,Crítica,Auditoría Externa,Cerrada,2005-09-12,10,R11,1239362
NC-106153,2005-09-03,P03,T03,Alta,Auditoría Interna,Cerrada,2005-09-12,9,R11,1367939
NC-102159,2005-09-06,P03,T05,Media,Inspección de Calidad,Cerrada,2005-09-12,6,R11,1129196
NC-104797,2005-09-06,P04,T03,Media,Inspección de Calidad,Cerrada,2005-09-18,12,R11,1612806
NC-102052,2005-09-20,P07,T04,Media,Autocontrol,Cerrada,2005-10-01,11,R11,548789
NC-100884,2005-09-22,P04,T03,Media,Auditoría Externa,Cerrada,2005-09-29,7,R11,935347
NC-103324,2005-10-02,P01,T02,Baja,Autocontrol,Cerrada,2005-10-08,6,R11,110124
NC-104707,2005-10-12,P06,T01,Alta,Auditoría Interna,En Tratamiento,,,R11,822018
NC-101914,2005-10-21,P04,T02,Baja,Auditoría Externa,Cerrada,2005-10-27,6,R11,632846
NC-103153,2005-10-27,P08,T01,Baja,Autocontrol,Cerrada,2005-11-09,13,R11,375384
NC-101667,2005-11-01,P07,T02,Baja,Queja de Cliente,Cerrada,2005-11-07,6,R11,221899
NC-103212,2005-11-06,P08,T04,Media,Auditoría Externa,Cerrada,2005-11-13,7,R11,133473
NC-103919,2005-11-08,P06,T03,Baja,Autocontrol,En Tratamiento,,,R11,326540
NC-103546,2005-11-17,P05,T02,Media,Queja de Cliente,Cerrada,2005-11-28,11,R11,215470
NC-101384,2005-11-18,P07,T04,Media,Auditoría Interna,Cerrada,2005-11-19,1,R11,563406
NC-105227,2005-11-21,P06,T05,Baja,Inspección de Calidad,Cerrada,2005-11-30,9,R11,419540
NC-100008,2005-11-21,P08,T03,Crítica,Auditoría Externa,Cerrada,2005-11-28,7,R11,1055169
NC-104812,2005-11-28,P04,T03,Media,Queja de Cliente,Cerrada,2005-12-04,6,R11,531233
NC-103898,2005-12-02,P08,T03,Baja,Inspección de Calidad,Cerrada,2005-12-17,15,R11,308166
NC-104239,2005-12-11,P01,T05,Alta,Auditoría Externa,En Tratamiento,,,R11,482666
NC-100298,2005-12-20,P07,T02,Media,Auditoría Externa,En Tratamiento,,,R11,98769
NC-104684,2005-12-31,P05,T03,Media,Auditoría Interna,Abierta,,,R11,198696
NC-105131,2006-01-01,P05,T01,Alta,Queja de Cliente,Cerrada,2006-01-10,9,R11,917951
NC-103566,2006-01-03,P06,T04,Alta,Queja de Cliente,Cerrada,2006-01-06,3,R11,2160090
NC-103926,2006-01-04,P02,T05,Baja,Inspección de Calidad,Cerrada,2006-01-18,14,R11,512331
NC-105327,2006-01-10,P01,T06,Media,Queja de Cliente,Cerrada,2006-01-30,20,R11,217844
NC-106010,2006-01-10,P02,T03,Alta,Autocontrol,Cerrada,2006-01-15,5,R11,711353
NC-104470,2006-01-20,P01,T01,Baja,Auditoría Externa,En Tratamiento,,,R11,321296
NC-103975,2006-01-23,P01,T02,Baja,Queja de Cliente,En Tratamiento,,,R11,225223
NC-101570,2006-01-25,P05,T04,Alta,Queja de Cliente,Cerrada,2006-02-10,16,R11,348565
NC-101694,2006-02-02,P01,T02,Alta,Inspección de Calidad,Cerrada,2006-02-15,13,R11,806451
NC-101533,2006-02-06,P03,T04,Alta,Queja de Cliente,Abierta,,,R11,854056
NC-100999,2006-02-09,P01,T05,Baja,Inspección de Calidad,En Tratamiento,,,R11,140742
NC-102869,2006-02-20,P02,T03,Baja,Auditoría Interna,Cerrada,2006-03-07,15,R11,189906
NC-105873,2006-02-26,P04,T06,Baja,Queja de Cliente,En Tratamiento,,,R11,162813
NC-101529,2006-03-04,P03,T05,Baja,Auditoría Externa,Cerrada,2006-03-11,7,R11,134548
NC-100544,2006-03-08,P02,T02,Baja,Auditoría Externa,Cerrada,2006-03-13,5,R11,167237
NC-102235,2006-03-09,P03,T03,Crítica,Auditoría Externa,Cerrada,2006-03-15,6,R11,985439
NC-104466,2006-03-13,P06,T02,Alta,Auditoría Interna,Cerrada,2006-04-02,20,R11,374952
NC-103312,2006-03-23,P02,T04,Media,Queja de Cliente,En Tratamiento,,,R11,1410492
NC-100936,2006-03-24,P01,T04,Media,Auditoría Interna,Cerrada,2006-04-01,8,R11,643386
NC-103539,2006-03-25,P05,T01,Alta,Inspección de Calidad,Abierta,,,R11,1549749
NC-105764,2006-04-07,P05,T03,Crítica,Queja de Cliente,Cerrada,2006-04-15,8,R11,554876
NC-103519,2006-04-13,P06,T04,Media,Auditoría Externa,Abierta,,,R11,1016059
NC-101866,2006-04-17,P06,T04,Crítica,Auditoría Externa,Cerrada,2006-05-14,27,R11,2264073
NC-104478,2006-04-19,P08,T05,Alta,Queja de Cliente,Cerrada,2006-05-02,13,R11,370389
NC-105726,2006-04-27,P03,T04,Baja,Auditoría Interna,Cerrada,2006-05-02,5,R11,233513
NC-103248,2006-05-03,P05,T04,Media,Inspección de Calidad,Cerrada,2006-05-30,27,R11,912790
NC-100664,2006-05-05,P05,T03,Media,Inspección de Calidad,Cerrada,2006-05-25,20,R11,1291233
NC-104670,2006-05-10,P08,T04,Alta,Auditoría Interna,Cerrada,2006-05-19,9,R11,295906
NC-102221,2006-05-11,P02,T04,Media,Queja de Cliente,Cerrada,2006-05-13,2,R11,25411
NC-100741,2006-05-15,P04,T03,Baja,Queja de Cliente,Cerrada,2006-05-25,10,R11,435947
NC-105743,2006-05-17,P06,T06,Media,Inspección de Calidad,Cerrada,2006-05-28,11,R11,100297
NC-105398,2006-05-19,P08,T03,Alta,Auditoría Externa,Cerrada,2006-06-05,17,R11,491485
NC-104134,2006-05-23,P07,T03,Media,Queja de Cliente,Cerrada,2006-05-30,7,R11,268987
NC-100839,2006-05-24,P02,T02,Baja,Auditoría Interna,Cerrada,2006-06-11,18,R11,92116
NC-103415,2006-06-04,P07,T05,Media,Queja de Cliente,Cerrada,2006-06-09,5,R11,932169
NC-104992,2006-06-05,P01,T05,Alta,Queja de Cliente,Cerrada,2006-07-02,27,R11,313545
NC-104706,2006-06-11,P04,T06,Alta,Autocontrol,Cerrada,2006-06-14,3,R11,939689
NC-100193,2006-06-12,P06,T04,Media,Auditoría Interna,Cerrada,2006-06-20,8,R11,676524
NC-101741,2006-06-14,P03,T02,Baja,Auditoría Interna,Cerrada,2006-07-03,19,R11,161199
NC-105812,2006-06-18,P04,T01,Media,Auditoría Externa,Cerrada,2006-07-15,27,R11,466819
NC-102828,2006-06-20,P02,T05,Baja,Queja de Cliente,Cerrada,2006-07-04,14,R11,201135
NC-100500,2006-06-21,P06,T04,Alta,Auditoría Interna,Cerrada,2006-07-09,18,R11,1434159
NC-101599,2006-06-27,P01,T05,Baja,Autocontrol,Cerrada,2006-07-05,8,R11,517162
NC-100006,2006-07-09,P08,T04,Media,Auditoría Interna,Cerrada,2006-07-19,10,R11,246803
NC-101079,2006-07-09,P01,T02,Baja,Inspección de Calidad,Cerrada,2006-07-18,9,R11,211742
NC-100438,2006-07-15,P04,T04,Media,Auditoría Externa,Cerrada,2006-08-10,26,R11,213592
NC-100087,2006-07-15,P04,T05,Alta,Queja de Cliente,Abierta,,,R11,1090363
NC-100803,2006-07-16,P01,T02,Alta,Auditoría Interna,Cerrada,2006-07-30,14,R11,2111367
NC-100971,2006-07-18,P04,T02,Baja,Auditoría Interna,En Tratamiento,,,R11,88843
NC-102301,2006-07-26,P05,T03,Alta,Queja de Cliente,Cerrada,2006-08-19,24,R11,752334
NC-101994,2006-07-30,P02,T01,Crítica,Inspección de Calidad,En Tratamiento,,,R11,2141682
NC-103287,2006-07-30,P03,T01,Media,Auditoría Externa,Cerrada,2006-08-20,21,R11,208221
NC-104959,2006-08-12,P05,T05,Baja,Auditoría Interna,Cerrada,2006-08-23,11,R11,194037
NC-101162,2006-08-14,P01,T04,Baja,Auditoría Interna,Cerrada,2006-08-27,13,R11,204276
NC-101081,2006-08-14,P02,T03,Media,Auditoría Interna,Cerrada,2006-08-17,3,R11,545871
NC-100786,2006-08-16,P01,T04,Baja,Auditoría Externa,Cerrada,2006-09-03,18,R11,214703
NC-104863,2006-08-17,P03,T06,Alta,Auditoría Interna,Cerrada,2006-08-29,12,R11,502633
NC-104841,2006-08-18,P07,T05,Media,Inspección de Calidad,Cerrada,2006-08-24,6,R11,390396
NC-104112,2006-08-22,P04,T05,Crítica,Autocontrol,Cerrada,2006-08-29,7,R11,175141
NC-100539,2006-08-23,P01,T02,Alta,Auditoría Externa,Abierta,,,R11,135800
NC-106104,2006-08-26,P07,T04,Baja,Autocontrol,Cerrada,2006-09-07,12,R11,243490
NC-104884,2006-08-27,P06,T01,Baja,Auditoría Interna,Cerrada,2006-09-10,14,R11,79446
NC-101884,2006-08-27,P01,T02,Media,Inspección de Calidad,Cerrada,2006-09-04,8,R11,322152
NC-100047,2006-08-29,P01,T06,Crítica,Auditoría Interna,Cerrada,2006-09-02,4,R11,699501
NC-104388,2006-09-04,P03,T05,Alta,Auditoría Interna,Cerrada,2006-09-13,9,R11,1796448
NC-102106,2006-09-09,P05,T06,Media,Auditoría Interna,Cerrada,2006-09-23,14,R11,283788
NC-103042,2006-09-14,P07,T03,Baja,Auditoría Interna,Cerrada,2006-10-06,22,R11,238221
NC-100070,2006-09-15,P07,T03,Media,Auditoría Externa,Cerrada,2006-09-24,9,R11,923057
NC-105559,2006-09-16,P05,T04,Alta,Auditoría Externa,Cerrada,2006-09-28,12,R11,326030
NC-104449,2006-09-21,P02,T03,Baja,Autocontrol,Cerrada,2006-09-27,6,R11,123885
NC-100985,2006-09-24,P06,T05,Media,Autocontrol,Abierta,,,R11,369125
NC-102108,2006-09-26,P08,T04,Media,Autocontrol,Cerrada,2006-10-25,29,R11,177827
NC-103413,2006-09-28,P05,T05,Alta,Auditoría Externa,Cerrada,2006-10-04,6,R11,1372367
NC-103604,2006-09-28,P02,T04,Alta,Queja de Cliente,Cerrada,2006-10-02,4,R11,1224720
NC-101704,2006-10-01,P02,T04,Media,Auditoría Externa,Cerrada,2006-10-10,9,R11,411822
NC-103597,2006-10-11,P04,T06,Crítica,Inspección de Calidad,Cerrada,2006-10-24,13,R11,886997
NC-102994,2006-10-19,P06,T06,Baja,Autocontrol,Abierta,,,R11,415714
NC-103299,2006-10-21,P04,T01,Crítica,Auditoría Externa,Abierta,,,R11,756053
NC-102512,2006-10-23,P05,T06,Baja,Autocontrol,Cerrada,2006-11-13,21,R11,204632
NC-104262,2006-10-23,P08,T03,Media,Auditoría Interna,Cerrada,2006-10-25,2,R11,1004657
NC-102437,2006-10-26,P04,T03,Baja,Auditoría Externa,Cerrada,2006-11-01,6,R11,273463
NC-103372,2006-10-30,P02,T06,Media,Inspección de Calidad,Cerrada,2006-11-04,5,R11,145257
NC-105872,2006-10-30,P05,T04,Baja,Queja de Cliente,Abierta,,,R11,292120
NC-105951,2006-11-03,P01,T04,Alta,Auditoría Interna,Cerrada,2006-11-07,4,R09,226868
NC-102673,2006-11-09,P07,T05,Alta,Auditoría Externa,Cerrada,2006-11-30,21,R09,561094
NC-101121,2006-11-09,P07,T03,Baja,Auditoría Interna,Cerrada,2006-11-19,10,R11,59321
NC-105063,2006-11-10,P02,T06,Baja,Queja de Cliente,Cerrada,2006-11-15,5,R11,198885
NC-103804,2006-11-16,P01,T04,Baja,Inspección de Calidad,Cerrada,2006-12-06,20,R09,132538
NC-102948,2006-11-20,P02,T02,Media,Queja de Cliente,Cerrada,2006-12-06,16,R09,667172
NC-105275,2006-11-20,P06,T05,Alta,Queja de Cliente,Abierta,,,R09,351825
NC-105449,2006-11-24,P07,T05,Media,Autocontrol,Cerrada,2006-12-06,12,R09,728839
NC-101554,2006-11-25,P06,T03,Baja,Inspección de Calidad,Cerrada,2006-12-11,16,R11,84840
NC-102876,2006-11-26,P07,T02,Media,Inspección de Calidad,Cerrada,2006-12-03,7,R11,375016
NC-100560,2006-11-26,P02,T02,Baja,Autocontrol,En Tratamiento,,,R11,67944
NC-103096,2006-11-26,P02,T06,Baja,Auditoría Interna,Cerrada,2006-12-05,9,R09,196053
NC-102142,2006-12-03,P03,T04,Baja,Inspección de Calidad,Cerrada,2007-01-04,32,R09,78885
NC-102993,2006-12-05,P08,T06,Media,Auditoría Externa,Cerrada,2006-12-09,4,R09,699970
NC-105943,2006-12-06,P03,T01,Media,Queja de Cliente,Cerrada,2006-12-08,2,R11,179975
NC-100377,2006-12-07,P08,T01,Media,Inspección de Calidad,Cerrada,2006-12-28,21,R11,160924
NC-100604,2006-12-09,P03,T06,Media,Queja de Cliente,Cerrada,2006-12-15,6,R11,822336
NC-105408,2006-12-10,P04,T05,Baja,Auditoría Interna,Cerrada,2006-12-31,21,R11,351667
NC-101645,2006-12-16,P01,T03,Crítica,Auditoría Externa,Cerrada,2006-12-24,8,R11,1976278
