Proceso_ID;Anio;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
P01;2005;2;3;3;1;2;2;2;1;1;2;1;1
P02;2005;5;5;4;3;4;3;3;4;3;5;4;3
P03;2005;2;2;3;4;3;2;3;2;3;3;4;4
P04;2005;5;4;5;4;4;5;5;5;4;5;6;4
P05;2005;6;7;5;6;6;7;7;5;6;5;7;5
P06;2005;4;2;3;2;2;2;3;4;2;4;3;4
P07;2005;0;2;0;0;0;0;2;1;1;1;2;0
P08;2005;1;0;1;1;1;1;1;2;1;2;1;1
P01;2006;1;2;3;1;3;1;3;1;3;1;3;3
P02;2006;3;3;3;3;3;4;5;4;4;3;5;4
P03;2006;3;2;4;4;2;4;3;4;3;2;2;2
P04;2006;4;6;5;4;5;6;6;6;4;5;4;4
P05;2006;5;7;6;6;6;6;7;5;5;6;6;5
P06;2006;2;4;3;3;4;3;2;3;2;2;2;2
P07;2006;0;2;2;1;1;0;1;2;2;2;0;2
P08;2006;1;2;0;1;2;0;0;1;2;1;1;1
P01;2007;3;1;2;3;1;3;2;2;2;1;3;2
P02;2007;3;3;3;3;3;5;5;5;3;4;4;5
P03;2007;2;4;4;4;3;2;2;3;3;3;2;2
P04;2007;5;4;5;5;5;6;6;6;5;6;6;5
P05;2007;6;6;6;6;7;7;7;6;5;7;5;6
P06;2007;2;3;3;2;3;2;4;3;4;4;3;4
P07;2007;1;0;1;1;1;0;2;0;2;0;2;0
P08;2007;0;0;0;2;2;2;0;0;1;2;1;2
P01;2008;1;3;3;2;2;3;1;2;2;3;3;2
P02;2008;4;4;5;3;5;3;4;5;4;3;5;5
P03;2008;3;4;4;4;3;2;4;4;3;4;3;4
P04;2008;5;4;5;6;5;4;4;5;4;4;6;5
P05;2008;7;6;5;6;7;6;6;7;5;5;5;5
P06;2008;4;2;3;4;3;4;2;3;2;2;4;2
P07;2008;0;0;0;2;0;2;0;0;1;0;0;1
P08;2008;0;1;1;2;1;2;1;1;0;2;2;0
P01;2009;1;1;2;1;1;1;2;3;3;3;1;1
P02;2009;5;5;4;4;4;5;3;5;4;3;4;5
P03;2009;2;4;3;4;3;4;2;2;4;2;4;4
P04;2009;4;4;5;6;4;5;4;4;4;4;5;6
P05;2009;7;6;5;5;6;6;5;7;6;5;7;7
P06;2009;3;2;2;3;2;3;3;2;3;4;3;3
P07;2009;0;2;1;0;1;1;0;2;1;1;2;1
P08;2009;2;2;1;1;0;1;0;2;0;2;0;0
P01;2010;3;2;2;3;3;2;3;1;2;1;1;2
P02;2010;5;5;3;4;3;3;4;5;5;4;3;3
P03;2010;4;3;4;4;3;2;3;3;4;2;2;4
P04;2010;5;6;4;6;6;4;6;6;6;5;5;6
P05;2010;5;6;7;6;6;6;6;7;7;6;7;5
P06;2010;4;2;4;4;2;3;3;4;4;4;3;3
P07;2010;1;1;0;2;2;2;1;0;2;0;2;1
P08;2010;0;2;1;1;0;0;1;1;0;2;1;0
P01;2011;3;1;1;2;1;2;2;2;1;1;3;3
P02;2011;3;5;4;3;5;3;3;3;4;5;4;3
P03;2011;2;3;4;3;3;4;4;3;4;3;2;3
P04;2011;6;6;6;6;4;5;5;5;5;5;4;4
P05;2011;6;7;5;5;6;6;5;6;7;6;6;5
P06;2011;2;2;2;2;3;2;2;3;4;2;3;3
P07;2011;2;1;1;0;2;2;2;2;1;2;0;1
P08;2011;1;2;1;2;0;2;0;1;0;2;2;2
P01;2012;3;1;1;1;3;1;2;2;3;1;3;3
P02;2012;3;3;5;5;4;4;3;3;5;4;3;3
P03;2012;4;2;2;3;2;3;4;2;3;2;4;2
P04;2012;6;5;6;4;4;6;4;6;4;4;6;6
P05;2012;7;6;6;6;7;6;6;7;6;6;7;6
P06;2012;2;2;3;4;4;2;2;4;3;3;2;4
P07;2012;0;0;1;2;2;1;2;2;2;0;2;0
P08;2012;2;2;2;0;1;0;1;0;1;2;2;0
P01;2013;3;1;1;3;3;1;2;2;2;3;3;3
P02;2013;3;5;3;3;4;4;5;3;5;3;5;5
P03;2013;4;3;4;4;3;2;3;2;4;2;4;2
P04;2013;5;5;5;5;6;6;5;6;4;6;5;4
P05;2013;5;6;5;7;7;5;7;6;6;7;6;7
P06;2013;4;3;4;2;4;2;3;4;4;2;4;3
P07;2013;1;1;1;2;0;2;1;2;2;2;2;0
P08;2013;1;2;1;0;0;0;2;0;0;0;2;1
P01;2014;2;2;3;1;2;2;2;3;1;2;2;3
P02;2014;4;4;4;4;3;3;4;4;3;5;4;3
P03;2014;2;3;4;2;4;4;4;3;3;2;2;3
P04;2014;4;5;5;4;4;5;5;5;5;6;6;6
P05;2014;6;7;6;5;5;7;5;7;7;5;7;6
P06;2014;2;2;3;3;3;2;4;2;3;3;4;4
P07;2014;0;2;2;0;2;1;1;2;0;0;2;1
P08;2014;2;2;2;0;1;2;1;0;1;1;2;2
P01;2015;1;1;3;2;2;2;1;3;3;2;1;1
P02;2015;3;4;4;4;3;3;3;5;4;3;3;5
P03;2015;4;4;3;3;2;4;2;3;2;4;4;4
P04;2015;6;6;6;5;5;5;6;5;6;5;5;4
P05;2015;6;6;6;7;5;5;7;6;5;6;6;7
