PRODUCTO;CATEGORIA;SUBCATEGORIA;MARCA;PROVEEDOR;COSTO_MERCANCIA_PORCENTAJE_VENTA;PRECIO_LISTA_PROMEDIO;ROTACION
Guayos Nike Cr-97;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8387.0;Baja
Guayos Nike Cr-47;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8507.0;Media
Guayos Nike Cr-38;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8572.0;Media
Guayos Nike Cr-100;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8600.0;Media
Guayos Nike Cr-44;Futbol - Calzado;Calzado con Tacos;Nike;;0.6;8466.0;Media
Guayos Nike Cr-85;Futbol - Calzado;Calzado con Tacos;;Nike LATAM S.A.;0.6;8094.0;Media
Guayos Nike Cr-54;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8123.0;Media
Guayos Nike Cr-8;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8248.0;Baja
Guayos Nike Cr-88;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8035.0;Baja
Guayos Nike Cr-9;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8167.0;Baja
Guayos Nike Cr-66;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8163.0;Baja
Guayos Nike Cr-25;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;103781.06256040907;Media
Camiseta Deportiva;Futbol - Indumentaria y accesorios;Indumentaria y Accesorios de Futbol;;Importadora Cumbre Outdoor;0.55;11553.0;Alta
Guayos Nike Cr-89;Futbol - Calzado;Calzado con Tacos;Nike;Nike LATAM S.A.;0.6;8424.0;Alta
Casco de escalada de granito;Camping y Montanismo;Escalada y Montanismo;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;8449.0;Alta
Mochila Canyon Mula Weekender;Camping y Montanismo;Carga y Transporte;Marca propia Cumbre;Importadora Cumbre Outdoor;0.58;21632.0;Alta
