CLIENTE;IDENTIFICACION;DOCUMENTO;PAIS;CANAL;FORMA DE PAGO;PRODUCTO;VENDEDOR;FECHA;VENTAS;CANTIDAD;DESCUENTO_PORCENTAJE;PRECIO_UNITARIO
Supermercados Peruanos;896789012.0;FV 123954;Colombia;Telefono;Cheque;Guayos Nike Cr-62;Viviana Cano;2015-11-20;61449;9;6.9;6828
Carrefour;900348761.0;FV 112944;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-96;Hernando Portilla;2012-05-04;11722;4;0.0;2930
Super Selectos;901457120.0;FV 148212;Guatemala;Punto de Venta;Efectivo;Guayos Nike Cr-42;Lidia Bueno;2020-10-25;11491;1;16.2;11491
Hipermaxi;899453679.0;FV 72218;Colombia;APP;Transferencia Electronica;Guantes de Arquero Nike;Viviana Cano;2023-11-15;65700;3;9.9;21900
Ara;901001382.0;FV 54632;Ecuador;Redes Sociales;Cheque;Lámpara EverGlow;Lidia Bueno;2021-10-17;Pendiente;10;11.2;1900
Hipermaxi;899453679.0;FV 62686;Nicaragua;Redes Sociales;Cheque;Lámpara EverGlow;Lidia Bueno;2022-08-07;12000;10;8.0;1200
Ara;901001382.0;FV 104453;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-20;Viviana Cano;2008-04-21;147838;13;15.7;11372
Ara;901001382.0;FV 103986;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-107;Viviana Cano;2008-01-26;7423;1;0.0;7423
Bodega Aurrerá;890457811.0;FV 55033;Mexico;Teléfono;Cheque;Lámpara EverGlow;Lidia Bueno;2021-10-30;13650;10;0.0;1365
;890457811.0;FV 67151;Panama;Teléfono;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2023-03-23;49800;10;0.0;4980
Ara;901001382.0;FV 134706;Guatemala;Punto de Venta;Tarjeta de Credito;Martillo de granito;Viviana Cano;2018-01-30;111188;9;6.5;12354
Tiendas San Francisco;;FV 116700;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-113;Viviana Cano;2013-07-18;35647;13;5.9;2742
Super Selectos;901457120.0;FV 61970;Peru;Redes Sociales;Cheque;Guantes de Arquero Nike;Guillermo Benavides;2022-07-06;15050;6;0.0;2508
Gessa;901324700.0;FV 135244;Nicaragua;Telefono;Efectivo;Star Gazer 3;Lidia Bueno;2018-03-10;81902;15;5.7;5460
Tiendas Olímpica;901765437.0;FV 57047;Panama;Redes Sociales;Tarjeta de Credito;Arnés Extremo Husky;Patricia Angarita;2022-01-11;55000;10;0.0;5500
Supermercados Peruanos;896789012.0;FV 61994;Peru;Redes Sociales;Transferencia Electronica;Casco de escalada de granito;Lidia Bueno;2022-07-06;22200;6;8.0;3700
Super 99;;FV 111186;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-82;Viviana Cano;2011-08-31;44366;11;0.0;4033
Supermercados Peruanos;896789012.0;FV 128015;Ecuador;Telefono;Transferencia Electronica;Guayos Nike Cr-83;Viviana Cano;2016-10-01;96689;12;0.0;8057
Jumbo;901345871.0;FV 123418;Ecuador;Punto de Venta;Transferencia Electronica;Set de Madera Lady Hailstorm Titanium;Bernardo Cifuentes;2015-09-13;79655;9;14.5;8851
Super Selectos;901457120.0;FV 108410;Ecuador;Punto de Venta;Tarjeta de Credito;Balon de Microfutbol Golty;Viviana Cano;2010-04-15;?;10;9.2;9953
Ara;901001382.0;FV 61783;Mexico;Teléfono;Cheque;Kit de cocina TrailChef;Lidia Bueno;2022-06-26;21700;10;0.0;2170
Walmart;890342123.0;FV 147929;Guatemala;Telefono;Tarjeta de Credito;Guayos Nike Cr-34;Viviana Cano;2020-10-04;29069;2;0.0;14534
Tiendas Olímpica;901765437.0;FV 66111;Panama;Teléfono;Transferencia Electronica;Arnés Extremo Husky;Viviana Cano;2023-02-07;46450;8;0.0;5806
Ara;901001382.0;FV 134999;Peru;Telefono;Cheque;Guayos Nike Cr-33;Hernando Portilla;2018-02-20;14505;3;8.4;4835
Hipermaxi;899453679.0;FV 51406;Honduras;Redes Sociales;Transferencia Electronica;Palo Course Pro;Viviana Cano;2021-04-24;42900;6;0.0;7150
Super 99;899087237.0;FV 115539;Ecuador;Telefono;Transferencia Electronica;Guayos Nike Cr-115;Bernardo Cifuentes;2013-03-07;20619;3;6.4;6873
Gessa;901324700.0;FV 107855;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-117;Hernando Portilla;2009-12-30;32011;6;0.0;5335
;896789012.0;FV 111277;Ecuador;Punto de Venta;Efectivo;Bloqueador solar;Viviana Cano;2011-09-19;28143;6;11.9;4690
Carrefour;900348761.0;FV 54601;Panama;APP;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2021-10-15;27900;10;7.9;2790
Makro;902765200.0;FV 117709;Ecuador;Punto de Venta;Transferencia Electronica;Alivio de mordedura de insectos;Bernardo Cifuentes;2013-11-13;10908;1;0.0;10908
Super Selectos;;FV 111583;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-77;Hernando Portilla;2011-11-11;97374;9;16.7;10819
Unimarc;900434592.0;FV 125070;Nicaragua;Punto de Venta;Efectivo;Guayos Nike Cr-120;Viviana Cano;2016-02-26;146998;13;0.0;11308
Hipermaxi;899453679.0;FV 71295;Colombia;Redes Sociales;Transferencia Electronica;Casco de escalada de granito;Hernando Portilla;2023-09-03;26500;10;6.7;2650
Tiendas San Francisco;897345600.0;FV 65360;Ecuador;Redes Sociales;Cheque;Bolsa de golf Course Pro;Hernando Portilla;2023-01-06;16700;8;8.7;2088
Supermercados Peruanos;896789012.0;FV 64825;Guatemala;Redes Sociales;Cheque;Kit de alivio compacto;Hernando Portilla;2022-12-03;12700;13;0.0;977
Gessa;901324700.0;FV 70253;Peru;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Bernardo Cifuentes;2023-06-17;452900;8;0.0;56612
;901345871.0;FV 110868;Ecuador;Punto de Venta;Cheque;Sudadera Puma;Hernando Portilla;2011-07-05;124097;11;9.0;11282
Hipermaxi;899453679.0;FV 109209;ECUADOR;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-45;Hernando Portilla;2010-09-06;11060;1;0.0;11060
Ara;901001382.0;FV 114632;Peru;Punto de Venta;Cheque;Guayos Nike Cr-103;Bernardo Cifuentes;2012-11-20;28888;7;16.8;4127
Hipermaxi;899453679.0;FV 65332;Colombia;Redes Sociales;Cheque;Lámpara EverGlow;Viviana Cano;2023-01-05;11950;13;0.0;919
Grupo Éxito;809765231.0;FV 46888;Panama;Punto de Venta;Efectivo;Termo de Bicicleta;Bernardo Cifuentes;2024-12-20;82950;10;0.0;8295
Supermercados Peruanos;896789012.0;FV 123923;Peru;Telefono;Cheque;Guayos Nike Cr-7;Hernando Portilla;2015-11-16;33973;15;7.9;2265
Automercados Plaza's;891009100.0;FV 107820;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-40;Viviana Cano;2009-12-24;65898;14;7.1;4707
Unimarc;900434592.0;FV 104119;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-88;Hernando Portilla;2008-02-19;181201;14;7.8;12943
La Anónima;897564399.0;FV 111566;Ecuador;Punto de Venta;Tarjeta de Credito;Kit de cocina TrailChef;Viviana Cano;2011-11-08;68923;6;0.0;11487
Unimarc;900434592.0;FV 124094;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-121;Viviana Cano;2015-12-06;40832;10;0.0;4083
Ara;901001382.0;FV 119964;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-73;Hernando Portilla;2014-08-05;61188;8;0.0;7648
Super 99;899087237.0;FV 114578;Peru;Telefono;Efectivo;Guayos Nike Cr-35;Bernardo Cifuentes;2012-11-16;30828;3;0.0;10276
La Anónima;897564399.0;FV 127660;Guatemala;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-45;Viviana Cano;2016-09-04;131518;15;0.0;8768
Jumbo;;FV 114754;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-86;Viviana Cano;2012-12-06;6331;1;0.0;6331
Grupo Éxito;809765231.0;FV 64606;Panama;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2022-11-20;12500;10;9.3;1250
Super 99;899087237.0;FV 71074;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2023-08-08;22200;8;0.0;2775
Gessa;901324700.0;FV 143374;Honduras;Telefono;Efectivo;Kit de alivio compacto;Lidia Bueno;2019-11-09;7850;2;0.0;3925
